AFFGEOID,County Name,Total Pop,Total Pop Under 18,Pct_Below_Poverty,Pct_Below_Poverty_U18,Pct_Below_Poverty_65Over,Pct_Below_Poverty_Male,Pct_Below_Poverty_Female
0500000US19153,"Polk County, Iowa",492908,118846,10.2,12.8,5.5,9.5,10.8
0500000US19155,"Pottawattamie County, Iowa",89888,20770,11.9,17.8,8.4,10.7,13.2
0500000US19163,"Scott County, Iowa",170484,39377,11.4,9.4,8.8,10.4,12.3
0500000US19169,"Story County, Iowa",86770,15552,18.2,9.2,3.4,18.5,17.8
0500000US19193,"Woodbury County, Iowa",103169,26072,12.6,13.6,11.6,12,13.2
0500000US20015,"Butler County, Kansas",65489,16119,5.4,5.8,5.3,6.4,4.4
0500000US20045,"Douglas County, Kansas",112028,20173,16.4,9,6,17.3,15.4
0500000US20091,"Johnson County, Kansas",613260,141986,5.4,4.5,5.5,4.4,6.3
0500000US20103,"Leavenworth County, Kansas",79314,19154,10.5,13.3,4.9,11.2,9.7
0500000US20161,"Riley County, Kansas",60940,11178,22.7,22.2,7.9,19.5,26
0500000US20173,"Sedgwick County, Kansas",516525,128758,16,20.5,12.6,15.3,16.7
0500000US20177,"Shawnee County, Kansas",173050,40058,14,14.9,11,13.8,14.2
0500000US20209,"Wyandotte County, Kansas",163779,43896,14.7,19.2,15.2,13.5,15.8
0500000US21015,"Boone County, Kentucky",137860,34716,7.3,6.8,10.6,7.6,7
0500000US21029,"Bullitt County, Kentucky",83579,17316,9.7,12.1,9.7,6.6,12.8
0500000US21037,"Campbell County, Kentucky",90567,18373,8.6,5,10.8,7.1,10.1
0500000US21047,"Christian County, Kentucky",68993,20288,17.1,21.9,23,16,18.2
0500000US21059,"Daviess County, Kentucky",100656,23371,12.2,11.9,9.3,10.2,14
0500000US21067,"Fayette County, Kentucky",308447,64749,14.7,16.5,7.3,13.2,16.1
0500000US21093,"Hardin County, Kentucky",107113,27125,12.6,15.1,13.2,11,14.2
0500000US21111,"Jefferson County, Kentucky",760566,166197,14.7,20.6,9.5,12.8,16.6
0500000US21117,"Kenton County, Kentucky",168910,38629,10.4,13.7,10.9,10.7,10.1
0500000US21145,"McCracken County, Kentucky",65982,14286,13.8,20.5,8.3,14.6,13.1
0500000US21151,"Madison County, Kentucky",89336,18636,15.4,22.7,7,15.8,14.9
0500000US21185,"Oldham County, Kentucky",65172,16545,2.8,1.2,4.1,1.5,4.1
0500000US21199,"Pulaski County, Kentucky",64609,14209,18.1,19.3,16.9,15.3,20.8
0500000US21227,"Warren County, Kentucky",134783,32076,19.5,22.5,10.3,16.6,22.3
0500000US22005,"Ascension Parish, Louisiana",129450,33596,9.9,9.4,14.2,7.3,12.4
0500000US22015,"Bossier Parish, Louisiana",126127,31495,12.6,17.2,11.6,12.1,13.1
0500000US22017,"Caddo Parish, Louisiana",223838,52623,22.3,32,16.2,20,24.4
0500000US22019,"Calcasieu Parish, Louisiana",199390,48963,16.4,21.1,12.5,14.4,18.4
0500000US22033,"East Baton Rouge Parish, Louisiana",435486,99759,18.4,22,11.1,16.4,20.2
0500000US22045,"Iberia Parish, Louisiana",67458,16885,22.8,33.8,15,21.3,24.3
0500000US22051,"Jefferson Parish, Louisiana",422860,92699,14.1,18.9,10.5,13.1,15.1
0500000US22055,"Lafayette Parish, Louisiana",245310,58234,17.6,20.3,15.8,16.4,18.7
0500000US22057,"Lafourche Parish, Louisiana",93266,19034,17.8,16.5,14.8,16.1,19.6
0500000US22063,"Livingston Parish, Louisiana",146780,36698,14.9,15.4,17.3,11.4,18.2
0500000US22071,"Orleans Parish, Louisiana",357172,70705,22.2,33.5,20.1,20.9,23.4
0500000US22073,"Ouachita Parish, Louisiana",152941,36713,24,37.4,14.7,21,26.8
0500000US22079,"Rapides Parish, Louisiana",124392,31269,18.4,27.8,11,15.8,20.9
0500000US22097,"St. Landry Parish, Louisiana",80733,21562,29.8,38.2,26.5,26.9,32.6
0500000US22103,"St. Tammany Parish, Louisiana",270026,62151,10.7,15.9,10,8.5,12.7
0500000US22105,"Tangipahoa Parish, Louisiana",133582,33353,19.4,28.3,14.2,17.7,20.9
0500000US22109,"Terrebonne Parish, Louisiana",103670,25486,14.3,15.6,18,12.2,16.3
0500000US23001,"Androscoggin County, Maine",108675,21953,12.7,19.4,8.5,14.2,11.2
0500000US23003,"Aroostook County, Maine",65721,11870,15.6,14.4,15.9,14.6,16.5
0500000US23005,"Cumberland County, Maine",298861,53698,6.2,3.5,6.7,5.8,6.5
0500000US23011,"Kennebec County, Maine",122286,23017,12.7,18.5,8.4,11.6,13.8
0500000US23019,"Penobscot County, Maine",147812,26165,15.1,17.3,11.1,13.1,17.1
0500000US23031,"York County, Maine",213723,37596,8.3,9.8,9.1,7.2,9.4
0500000US24001,"Allegany County, Maryland",61228,11715,18.9,15.1,15.4,14.4,23.3
0500000US24003,"Anne Arundel County, Maryland",584077,131000,6.2,7.1,7.6,5.2,7.3
0500000US24005,"Baltimore County, Maryland",826088,178229,11.4,16.4,11.5,9.4,13.2
0500000US24009,"Calvert County, Maryland",94173,22105,3.5,0.9,1.5,3.4,3.5
0500000US24013,"Carroll County, Maryland",171381,37991,5.4,5.9,5.8,4.1,6.6
0500000US24015,"Cecil County, Maryland",102765,22773,9.5,8.1,6.1,7,11.9
0500000US24017,"Charles County, Maryland",169078,40057,8.5,11.2,11.2,7.9,9
