UID,ENG COMP Placement,Course Preference,Post-AWPE Survey,H/L/A,Unweighted GPA
706139016,2,3,39,H,3.95
306218572,2,3,39,H,4
306242930,2,3,39,H,0
506253866,2,3,39,H,3.96
406146570,2,3,39,H,3.93
306292637,2,3,39,H,4
506187428,2,3,40,H,3.62
406161136,2,3,40,H,2.96
906246015,2,3,40,H,3.28
106160732,2,3,40,H,4
106160906,2,3,40,H,3.79
906128446,2,3,40,H,3.33
906146817,2,3,40,H,3.94
906149547,2,3,40,H,4
906238459,2,3,40,H,4
906243917,2,3,40,H,4
906213473,2,3,40,H,3.91
306127690,2,3,40,H,4
906219446,2,3,40,H,4
306254715,2,3,40,H,3.96
906243998,2,3,40,H,3.8
306255159,2,3,41,H,3.96
6258263,2,3,41,H,3.5
906239374,2,3,41,H,4
505620115,2,3,41,H,3.08
106251379,2,3,41,H,4
106141098,2,3,41,H,3.83
506143745,2,3,41,H,3.6
106200115,2,3,41,H,4
506119830,2,3,41,H,3.65
506170531,2,3,42,H,4
906164788,2,3,42,H,4
206143407,2,3,42,H,4
706138917,2,3,42,H,3.45
606215181,2,3,42,H,3.51
906195940,2,3,42,H,3.89
406137660,2,3,42,H,3.88
706146955,2,3,42,H,3.96
806269210,2,3,42,H,NA
906142800,2,3,42,H,4
106157305,2,3,42,H,3.88
406147206,2,3,42,H,3.95
806169084,2,3,42,H,3.73
806138889,2,3,42,H,4
6134866,2,3,42,H,3.96
6132886,2,3,42,H,3.96
506222281,2,3,43,H,3.88
406234717,2,3,43,H,4
406134572,2,3,43,H,4
6195893,2,3,43,H,4
106195454,2,3,43,H,3.93
906156887,2,3,43,H,4
606208859,2,3,43,H,3.88
206144794,2,3,43,H,4
6243337,2,3,43,H,3.9
306242548,2,3,43,H,3.77
706175603,2,3,43,H,3.59
6293799,2,3,43,H,4
506214337,2,3,43,H,4
706270030,2,3,43,H,0
6212213,2,3,43,H,4
306168874,2,3,43,H,4
606160720,2,3,43,H,3.93
405773279,2,3,44,H,4
106150931,2,3,44,H,4
706274066,2,3,44,H,3.95
806169437,2,3,44,H,3.4
706270068,2,3,44,H,4
506147461,2,3,44,H,4
6220963,2,3,44,H,3.23
206166535,2,3,44,H,3.77
106123481,2,3,44,H,4
406134812,2,3,44,H,3.95
406251085,2,3,44,H,4
306128699,2,3,44,H,2.33
206171235,2,3,45,H,4
6249004,2,3,45,H,3.81
606145683,2,3,45,H,4
206128464,2,3,45,H,3.95
206130551,2,3,45,H,3.92
206225629,2,3,45,H,3.96
906126683,2,3,45,H,3.63
206137656,2,3,45,H,3.84
406259637,2,3,45,H,3.93
406249441,2,3,45,H,0
406244844,2,3,45,H,3.9
406253659,2,3,45,H,4
306263022,2,3,46,H,3.8
506174727,2,3,46,H,4
906278959,2,3,46,H,3.74
806315090,2,3,47,H,3.37
406134421,2,1,26,L,3.81
6174697,2,1,27,L,3.81
6147331,2,1,28,L,4
106121854,2,1,28,L,4
606252729,2,1,28,L,4
606144669,2,1,29,L,3.53
406129797,2,1,30,L,3.86
6246350,2,1,30,L,4
106147241,2,1,30,L,4
306204947,2,1,30,L,3.86
306264804,2,1,30,L,3.29
6245459,2,1,30,L,3.88
406147466,2,1,30,L,4
