"name","address","city","state","zip"
"MISSION VALLEY","2005 CAMINO DEL ESTE","SAN DIEGO","CA",92108
"SACRAMENTO (TRUXEL)","3501 TRUXEL ROAD","SACRAMENTO","CA",95834
"ROSEVILLE (TAYLOR RD.)","1803 TAYLOR","ROSEVILLE","CA",95661
"VAN NUYS","7930 VAN NUYS BLVD.","VAN NUYS","CA",91402
"LONG BEACH (CARSON ST.)","7691 CARSON ST.","LONG BEACH","CA",90808
"SANTA MARIA","1330 S. BRADLEY ROAD","SANTA MARIA","CA",93454
"REDDING","1275 DANA DRIVE","REDDING","CA",96003
"PLACERVILLE","3055 FORNI ROAD","PLACERVILLE","CA",95667
"CULVER CITY","13425 WASHINGTON BLV","MARINA DEL REY","CA",90292
"LAKE HAVASU CITY","81-101 LONDON BRIDGE","LAKE HAVASU CITY","AZ",86403
"ONTARIO (ONTARIO MILLS)","4310 E ONT MILLS PKW","ONTARIO","CA",91764
"BAKERSFIELD (STOCKDALE HWY)","5100 STOCKDALE HWY","BAKERSFIELD","CA",93309
"DOWNEY","8767 FIRESTONE BLVD.","DOWNEY","CA",90241
"CHICO","2050 BUSINESS LANE","CHICO","CA",95928
"CHINO","3927 GRAND AVE.","CHINO","CA",91710
"LIVERMORE","1881 N LIVERMORE AVE","LIVERMORE","CA",94550
"HENDERSON","1051 W. SUNSET ROAD","HENDERSON","NV",89014
"SAN PEDRO","1090 N. WESTERN AVE.","SAN PEDRO","CA",90732
"MOUNTAIN VIEW (EL CAMINO REAL & GRANT)","53 W. EL CAMINO REAL","MOUNTAIN VIEW","CA",94040
"GLENDALE (HARVEY & HOLLY)","310 N. HARVEY DR.","GLENDALE","CA",91206
"SAN JOSE (CAPITOL & TULLY)","2950 E. CAPITOL EXWY","SAN JOSE","CA",95148
"DALY CITY","260 WASHINGTON ST.","DALY CITY","CA",94015
"DESERT RIDGE","21001 N. TATUM BLVD","PHOENIX","AZ",85050
"TURLOCK","3071 COUNTRYSIDE DR.","TURLOCK","CA",95380
"OCEANSIDE","4605 FRAZEE","OCEANSIDE","CA",92057
"OXNARD","381 W. ESPLANADE","OXNARD","CA",93036
"LAS VEGAS (EASTERN AVE.)","9240 S. EASTERN AVE.","LAS VEGAS","NV",89123
"INGLEWOOD","3411 W. CENTURY BLVD","INGLEWOOD","CA",90301
"PITTSBURG","4550 DELTA GATEWAY B","PITTSBURG","CA",94565
"CARSON VALLEY","957 TOPSY LANE","CARSON CITY","NV",89705
"SANTA CLARITA (BOUQUET CANYON)","26401 BOUQUET CYN RD","SANTA CLARITA","CA",91350
"FRESNO (BLACKSTONE & NEES)","8010 N. BLACKSTONE","FRESNO","CA",93720
"CORONA (ONTARIO AVE. & I-15)","2305 COMPTON AVE.","CORONA","CA",92881
"GLENDORA","1261 S. LONE HILL","GLENDORA","CA",91740
"UNION CITY","32060 UNION LANDING","UNION CITY","CA",94587
"MOORPARK","856 LOS ANGELES AVE.","MOORPARK","CA",93021
"FREMONT","43349 PAC. COMMONS","FREMONT","CA",94538
"ROSEVILLE (FAIRWAY DR.)","10309 FAIRWAY DRIVE","ROSEVILLE","CA",95678
"BRENTWOOD","5581 LONE TREE WAY","BRENTWOOD","CA",94513
"AVONDALE","1525 DYSART RD.","AVONDALE","AZ",85323
"MANTECA","1490 YOSEMITE AVE","MANTECA","CA",95336
"OAKLAND","8300 OAKPORT STREET","OAKLAND","CA",94601
"TEMPE","920 E.PLAYA DEL NORT","TEMPE","AZ",85281
"VAN NUYS (BALBOA)","7220 N. BALBOA","VAN NUYS","CA",91406
"LODI","2625 W. KETTLEMAN LN","LODI","CA",95242
"MORGAN HILL","895 COCHRANE RD.","MORGAN HILL","CA",95037
"TEMECULA (HIGHWAY 79)","30697 TEMECULA PKY","TEMECULA","CA",92592
"KINGMAN","1770 BEVERLY AVE.","KINGMAN","AZ",86401
"PETALUMA","1010 LAKEVILLE HWY.","PETALUMA","CA",94952
"WEST SACRAMENTO","780 IKEA COURT","WEST SACRAMENTO","CA",95605
"SAN CARLOS","445 INDUSTRIAL RD.","SAN CARLOS","CA",94070
"CHANDLER (GERMANN & GILBERT)","2910 EAST GERMANN ROAD","CHANDLER","AZ",85249
"CANOGA PARK","6841 N TOPANGA CANYO","CANOGA PARK","CA",91303
"LAS VEGAS (TROPICANA AVE. & TEE PEE LN.)","9610 W. TROPICANA AVENUE","LAS VEGAS","NV",89147
"SANTA NELLA","28900 HENRY MILLER RD.","SANTA NELLA","CA",95322
